Name,Nick Name,Status,Definition,Acronym,Resources,Related Terms,Synonyms,Stewards,Experts,Parent Term Name,IsDefinitionRichText,Term Template Names
Authorized_Control_Level_Risk_Based_Capital,Authorized Control Level Risk Based Capital,Approved,theoretical amount of capital plus surplus an insurance company should maintain.,,,,,,,,,
Authorized_Reinsurance,Authorized Reinsurance ,Approved,reinsurance placed with a reinsurer who is licensed or otherwise allowed to conduct reinsurance within a state.,,,,,,,,,
Auto_Liability,Auto Liability,Approved,"coverage that protects against financial loss because of legal liability for motor vehicle related injuries (bodily injury and medical payments) or damage to the property of others caused by accidents arising out of ownership, maintenance or use of a motor vehicle (including recreational vehicles such as motor homes). Commercial is defined as all motor vehicle policies that include vehicles that are used primarily in connection with business, commercial establishments, activity, employment, or activities carried on for gain or profit. No Fault is defined by the state concerned.",,,,,,,,,
Auto_Physical_Damage,Auto Physical Damage,Approved,"motor vehicle insurance coverage (including collision, vandalism, fire and theft) that insures against material damage to the insured's vehicle. Commercial is defined as all motor vehicle policies that include vehicles that are used in connection with business, commercial establishments, activity, employment, or activities carried on for gain or profit.",,,,,,,,,
Automobile_Liability_Insurance,Automobile Liability Insurance,Approved,coverage for bodily injury and property damage incurred through ownership or operation of a vehicle.,,,,,,,,,
Balance_Sheet,Balance Sheet ,Approved,accounting statement showing the financial condition of a company at a particular date.,,,,,,,,,
BCEGS_Building_Code_Effectiveness_Grading_Schedule,BCEGS - Building Code Effectiveness Grading Schedule,Approved,classification system for assessment of building codes per geographic region with special emphasis on mitigation of losses from natural disasters.,,,,,,,,,
Beneficiary,Beneficiary,Approved,"an individual who may become eligible to receive payment due to will, life insurance policy, retirement plan, annuity, trust, or other contract.",,,,,,,,,
Benefits_Medical_and_Hospital_Expenses,Benefits (Medical and Hospital Expenses) ,Approved,total expenditures for health care services paid to or on behalf of a member.,,,,,,,,,
Blanket_coverage,Blanket coverage,Approved,"coverage for property and liability that extends to more than one location, class of property or employee.",,,,,,,,,
Boatowners_Personal_Watercraft,Boatowners/Personal Watercraft,Approved,"covers damage to pleasure boats, motors, trailers, boating equipment and personal watercraft as well as bodily injury and property damage liability to others.",,,,,,,,,
Bodily_Injury,Bodily Injury,Approved,physical injury including sickness or disease to a person.,,,,,,,,,
Boiler_and_Machinery_or_Equipment_Breakdown_and_Machinery,Boiler and Machinery or Equipment Breakdown and Machinery,Approved,"coverage for the failure of boilers, machinery and other electrical equipment. Benefits include (i) property of the insured, which has been directly damaged by the accident; (ii) costs of temporary repairs and expediting expenses; and (iii) liability for damage to the property of others. Coverage also includes inspection of the equipment.",,,,,,,,,
Bonds,Bonds,Approved,"a form of debt security whereby the debt holder has a creditor stake in the company. Obligations issued by business units, governmental units and certain nonprofit units having a fixed schedule for one or more future payments of money; includes commercial paper, negotiable certificates of deposit, repurchase agreements and equipment trust certificates.",,,,,,,,,
Book_Value,Book Value ,Approved,"original cost, including capitalized acquisition costs and accumulated depreciation, unamortized premium and discount, deferred origination and commitment fees, direct write-downs, and increase/decrease by adjustment.",,,,,,,,,
Broker,Broker,Approved,an individual who receives commissions from the sale and service of insurance policies. These individuals work on behalf of the customer and are not restricted to selling policies for a specific company but commissions are paid by the company with which the sale was made.,,,,,,,,,
Builders_Risk_Policies,Builders' Risk Policies,Approved,"typically written on a reporting or completed value form, this coverage insures against loss to buildings in the course of construction. The coverage also includes machinery and equipment used in the course of construction and to materials incidental to construction.",,,,,,,,,
Burglary_and_Theft,Burglary and Theft,Approved,"coverage for property taken or destroyed by breaking and entering the insured's premises, burglary or theft, forgery or counterfeiting, fraud, kidnap and ransom, and off-premises exposure.",,,,,,,,,
Business_Auto,Business Auto,Approved,"coverage for motor vehicles, other than those in the garage business, engaged in commerce. Business auto filings include singularly or in any combination coverage such as the following: Auto Liability, PIP, MP, Uninsured Motorist and/or Underinsured Motorists (UM/UIM); Specified Causes of Loss, Comprehensive, and Collision.",,,,,,,,,
Business_Interruption,Business Interruption,Approved,loss of income as a result of property damage to a business facility.,,,,,,,,,
Business_owners_Policy,Business owners Policy,Approved,"business insurance typically for property, liability and business interruption coverage.",,,,,,,,,
Calendar_Year_Deductible,Calendar Year Deductible,Approved,"in health insurance, the amount that must be paid by the insured during a calendar year before the insurer becomes responsible for further loss costs.",,,,,,,,,
Capital_and_Surplus,Capital and Surplus ,Approved,a company's assets minus its liabilities.,,,,,,,,,
Capital_and_Surplus_Requirement,Capital and Surplus Requirement ,Approved,"statutory requirement ordering companies to maintain their capital and surplus at an amount equal to or in excess of a specified amount to help assure the solvency of the company by providing a financial cushion against expected loss or misjudgments and generally measured as a company's admitted assets minus its liabilities, determined on a statutory accounting basis.",,,,,,,,,
Capital_Gains_Loss,Capital Gains (Loss) ,Approved,"excess (deficiency) of the sales price of an asset over its book value. Calculated on the basis of original cost adjusted, as appropriate, for accrual of discount or amortization of premium and for depreciation.",,,,,,,,,
Capitation_Arrangement,Capitation Arrangement ,Approved,"a compensation plan used in connection with some managed care contracts where a physician or other medical provider is paid a flat amount, usually on a monthly basis, for each subscriber who has elected to use that physician or medical provider. Capitated payments are sometimes expressed in terms of a ""per member/per month"" payment. The capitated provider is generally responsible, under the conditions of the contract, for delivering or arranging for the delivery of all contracted health services required by the covered person.",,,,,,,,,
Captive_Agent,Captive Agent,Approved,an individual who sells or services insurance contracts for a specific insurer or fleet of insurers.,,,,,,,,,
Captive_Insurer,Captive Insurer,Approved,an insurance company established by a parent firm for the purpose of insuring the parent's exposures.,,,,,,,,,
Carrying_Value_Amount,Carrying Value (Amount) ,Approved,the SAP book value plus accrued interest and reduced by any valuation allowance and any nonadmitted adjustment applied to the individual investment.,,,,,,,,,
Cash_Equivalent,Cash Equivalent ,Approved,"short-term, highly liquid investments that are both (a) readily convertible to known amounts of cash, and (b) so near their maturity that they present insignificant risk of changes in value because of changes in interest rates. Investments with original maturities of three months or less qualify under this definition.",,,,,,,,,
Cash,Cash,Approved,a medium of exchange.,,,,,,,,,
Casualty_Insurance,Casualty Insurance,Approved,"a form of liability insurance providing coverage for negligent acts and omissions such as workers compensation, errors and omissions, fidelity, crime, glass, boiler, and various malpractice coverages.",,,,,,,,,
Catastrophe_Bonds,Catastrophe Bonds,Approved,"Bonds issued by an insurance company with funding tied to the company's losses from disasters, or acts of God. A loss exceeding a certain size triggers a reduction in the bond value or a change in the bond structure as loss payments are paid out of bond funds.",,,,,,,,,
Catastrophe_Loss,Catastrophe Loss,Approved,a large magnitude loss with little ability to forecast.,,,,,,,,,
Ceded_Premium,Ceded Premium ,Approved,amount of premium (fees) used to purchase reinsurance.,,,,,,,,,
Ceding_Company,Ceding Company,Approved,an insurance company that transfers risk by purchasing reinsurance.,,,,,,,,,
Centers_for_Medicare_and_Medicaid_Services_CMS,Centers for Medicare and Medicaid Services (CMS) ,Approved,U.S. governmental agency responsible for the licensing of federally qualified HMOs. This was formerly the Health Care Financing Administration.,,,,,,,,,
Change_in_Valuation_Basis,Change in Valuation Basis ,Approved,"a change in the interest rate, mortality assumption or reserving method or other factors affecting the reserve computation of policies in force.",,,,,,,,,
Chartered_Life_Underwriter_CLU,Chartered Life Underwriter (CLU),Approved,"a professional designation awarded by the American College to persons in the life insurance field who pass a series of exams in insurance, investment, taxation, employee benefit plans, estate planning, accounting, management, and economics.",,,,,,,,,
Chartered_Property_Casualty_Underwriter_CPCU,Chartered Property Casualty Underwriter (CPCU),Approved,"a professional designation awarded by the American Institute of Property and Casualty Underwriters to persons in the property and liability insurance field who pass a series of exams in insurance, risk management, economics, finance, management, accounting, and law. Designates must also have at least three years experience in the insurance business or related field.",,,,,,,,,
Claim,Claim,Approved,a request made by the insured for insurer remittance of payment due to loss incurred and covered under the policy agreement.,,,,,,,,,
Claims_Adjustment_Expenses,Claims Adjustment Expenses ,Approved,"costs expected to be incurred in connection with the adjustment and recording of accident and health, auto medical and workers' compensation claims.",,,,,,,,,
Claims_made_Form,Claims-made Form,Approved,A type of liability insurance form that only pays if the both event that causes (triggers)the claim and the actual claim are submitted to the insurance company during the policy term,,,,,,,,,
Class_Rating,Class Rating,Approved,a method of determining rates for all applicants within a given set of characteristics such as personal demographic and geographic location.,,,,,,,,,
Coinsurance,Coinsurance,Approved,"A clause contained in most property insurance policies to encourage policy holders to carry a reasonable amount of insurance. If the insured fails to maintain the amount specified in the clause (Usually at least 80%), the insured shares a higher proportion of the loss. In medical insurance a percentage of each claim that the insured will bear.",,,,,,,,,
Collar,Collar,Approved,"an agreement to receive payments as the buyer of an Option, Cap or Floor and to make payments as the seller of a different Option, Cap or Floor.",,,,,,,,,
Collateral_Loans,Collateral Loans ,Approved,unconditional obligations for the payment of money secured by the pledge of an investment.,,,,,,,,,
Collateralized_Bond_Obligations_CBOs,Collateralized Bond Obligations (CBOs) ,Approved,"an investment-grade bond backed by a pool of low-grade debt securities, such as junk bonds, separated into tranches based on various levels of credit risk.",,,,,,,,,
Collateralized_Mortgage_Obligations_CMOs,Collateralized Mortgage Obligations (CMOs) ,Approved,a type of mortgage-backed security (MBS) with separate pools of pass-through security mortgages that contain varying classes of holders and maturities (tranches) with the advantage of predictable cash flow patterns.,,,,,,,,,
Combinations,Combinations,Approved,a special form of package policy composed of personal automobile and homeowners insurance.,,,,,,,,,
Combined_Ratio,Combined Ratio,Approved,"an indication of the profitability of an insurance company, calculated by adding the loss and expense ratios.",,,,,,,,,
Commencement_Date,Commencement Date,Approved,"date when the organization first became obligated for any insurance risk via the issuance of policies and/or entering into a reinsurance agreement. Same as ""effective date"" of coverage.",,,,,,,,,
Commercial_Auto,Commercial Auto,Approved,"coverage for motor vehicles owned by a business engaged in commerce that protects the insured against financial loss because of legal liability for motor vehicle related injuries, or damage to the property of others caused by accidents arising out of the ownership, maintenance, use, or care-custody and control of a motor vehicle. This includes Commercial Auto Combinations of Business Auto, Garage, Truckers and/or Other Commercial Auto.",,,,,,,,,
Commercial_Earthquake,Commercial Earthquake,Approved,earthquake property coverage for commercial ventures.,,,,,,,,,
Commercial_Farm_and_Ranch,Commercial Farm and Ranch,Approved,"a commercial package policy for farming and ranching risks that includes both property and liability coverage. Coverage includes barns, stables, other farm structures and farm inland marine, such as mobile equipment and livestock.",,,,,,,,,
Commercial_Flood,Commercial Flood,Approved,separate flood insurance policy sold to commercial ventures.,,,,,,,,,
Commercial_General_Liability,Commercial General Liability,Approved,flexible and broad commercial liability coverage with two major sub-lines: premises/operations sub-line and products/completed operations sub-line.,,,,,,,,,
Commercial_Mortgage_Backed_Securities,Commercial Mortgage-Backed Securities ,Approved,a type of mortgage-backed security that is secured by the loan on a commercial property.,,,,,,,,,
Commercial_Multiple_Peril,Commercial Multiple Peril ,Approved,"policy that packages two or more insurance coverages protecting an enterprise from various property and liability risk exposures. Frequently includes fire, allied lines, various other coverages (e.g., difference in conditions) and liability coverage. Such coverages would be included in other annual statement lines, if written individually. Include under this type of insurance multi-peril policies (other than farmowners, homeowners and automobile policies) that include coverage for liability other than auto.",,,,,,,,,
Commercial_Package_Policy,Commercial Package Policy,Approved,provides a broad package of property and liability coverages for commercial ventures other than those provided insurance through a business owners policy.,,,,,,,,,
Commercial_Property,Commercial Property,Approved,property insurance coverage sold to commercial ventures.,,,,,,,,,
Commission,Commission,Approved,a percentage of premium paid to agents by insurance companies for the sale of policies.,,,,,,,,,
Community_Rating,Community Rating ,Approved,a rating system where standard rating is established and usually adjusted within specific guidelines for each group on the basis of anticipated utilization by the group's employees.,,,,,,,,,
Company_Code,Company Code ,Approved,"a five-digit identifying number assigned by NAIC, assigned to all insurance companies filing financial data with NAIC.",,,,,,,,,
Completed_Operations_Liability,Completed Operations Liability,Approved,"policies covering the liability of contractors, plumbers, electricians, repair shops, and similar firms to persons who have incurred bodily injury or property damage from defective work or operations completed or abandoned by or for the insured, away from the insured's premises.",,,,,,,,,
Comprehensive_Hospital_and_Medical,Comprehensive (Hospital and Medical) ,Approved,"line of business providing for medical coverages; includes hospital, surgical, major medical coverages; does not include Medicare Supplement, administrative services (ASC) contracts, administrative services only (ASO) contracts, federal employees health benefit plans (FEHBP), medical only programs, Medicare and Medicaid programs, vision only and dental only business.",,,,,,,,,
Comprehensive_General_Liability_CGL,Comprehensive General Liability (CGL),Approved,coverage of all business liabilities unless specifically excluded in the policy contract.,,,,,,,,,
Comprehensive_Personal_Liability,Comprehensive Personal Liability,Approved,comprehensive liability coverage for exposures arising out of the residence premises and activities of individuals and family members. (Non-business liability exposure protection for individuals.),,,,,,,,,
Comprehensive_Major_Medical,Comprehensive/Major Medical,Approved,"policies that provide fully insured indemnity, HMO, PPO, or Fee for Service coverage for hospital, medical, and surgical expenses. Coverage excludes Short-Term Medical Insurance, the Federal Employees Health Benefit Program and non-comprehensive coverage such as basic hospital only, medical only, hospital confinement indemnity, surgical, outpatient indemnity, specified disease, intensive care, and organ and tissue transplant coverage.",,,,,,,,,
Concurrent_Causation,Concurrent Causation,Approved,property loss incurred from two or more perils in which only one loss is covered but both are paid by the insurer due to simultaneous incident.,,,,,,,,,
Conditions,Conditions,Approved,requirements specified in the insurance contract that must be upheld by the insured to qualify for indemnification.,,,,,,,,,
Condos,Condos,Approved,homeowners insurance sold to condominium owners occupying the described property.,,,,,,,,,
Construction_and_Alteration_Liability,Construction and Alteration Liability,Approved,"covering the liability of an insured to persons who have incurred bodily injury or property damage from alterations involving demolition, new construction or change in size of a structure on the insured's premises.",,,,,,,,,
Contingency_Reserves,Contingency Reserves ,Approved,"required by some jurisdictions as a hedge against adverse experience from operations, particularly adverse claim experience.",,,,,,,,,
Contingent_Liability,Contingent Liability,Approved,"the liability of an insured to persons who have incurred bodily injury or property damage from work done by an independent contractor hired by the insured to perform work that was illegal, inherently dangerous, or directly supervised by the insured",,,,,,,,,
Continuation_of_Care_Requirement,Continuation of Care Requirement ,Approved,statutory or contractual provision requiring providers to deliver care to an enrollee for some period following the date of a Health Plan Company's insolvency.,,,,,,,,,
Continuing_Care_Retirement_Communities,Continuing Care Retirement Communities,Approved,senior housing arrangements that in addition to housing include some provision for skilled nursing care.,,,,,,,,,
Contract_Reserves,Contract Reserves,Approved,"reserves set up when, due to the gross premium structure, the future benefits exceed the future net premium. Contract reserves are in addition to claim and premium reserves.",,,,,,,,,
Contractual_Liability,Contractual Liability,Approved,liability coverage of an insured who has assumed the legal liability of another party by written or oral contract. Includes a contractual liability policy providing coverage for all obligations and liabilities incurred by a service contract provider under the terms of service contracts issued by the provider.,,,,,,,,,
Convertible_Term_Insurance_Policy,Convertible Term Insurance Policy,Approved,an insurance policy that can be converted into permanent insurance without a medical assessment. The insurer is required to renew the policy regardless of the health of the insured subject to policy conditions.,,,,,,,,,
Coordination_of_Benefits_COB,Coordination of Benefits (COB) ,Approved,provision to eliminate over insurance and establish a prompt and orderly claims payment system when a person is covered by more than one group insurance and/or group service plan.,,,,,,,,,
Copay,Copay,Approved,a cost sharing mechanism in group insurance plans where the insured pays a specified dollar amount of incurred medical expenses and the insurer pays the remainder.,,,,,,,,,
Corrective_Order,Corrective Order,Approved,commissioner's directive of action to be completed by an insurer.,,,,,,,,,
Covered_Lives,Covered Lives,Approved,"The total number of lives insured, including dependents, under individual policies and group certificates.",,,,,,,,,
Credit_Assumption_Agreement,Credit – Assumption Agreement,Approved,an insurance certificate issued on an existing insurance contract indicating that another insurer has assumed all of the risk under the contract from the ceding insurance company.,,,,,,,,,
Credit_Credit_Default,Credit - Credit Default,Approved,"coverage purchased by manufacturers, merchants, educational institutions, or other providers of goods and services extending credit, for indemnification of losses or damages resulting from the nonpayment of debts owed to them for goods or services provided in the normal course of their business.",,,,,,,,,
Credit_Involuntary_Unemployment,Credit – Involuntary Unemployment,Approved,makes loan/credit transaction payments to the creditor when the debtor becomes involuntarily unemployed.,,,,,,,,,
Credit_Accident_and_Health_group_and_individual,Credit Accident and Health (group and individual),Approved,"coverage provided to or offered to borrowers in connection with a consumer credit transaction where the proceeds are used to repay a debt or an installment loan in the event the consumer is disabled as the result of an accident, including business not exceeding 120 months duration.",,,,,,,,,
Credit_Disability,Credit Disability,Approved,makes monthly loan/credit transaction payments to the creditor upon the disablement of an insured debtor.,,,,,,,,,
Credit_Health_Insurance,Credit Health Insurance,Approved,policy assigning creditor as beneficiary for insurance on a debtor thereby remitting balance of payment to creditor should the debtor become disabled.,,,,,,,,,
Credit_Involuntary_Unemployment,Credit Involuntary Unemployment,Approved,"credit insurance that provides a monthly or lump sum benefit during an unpaid leave of absence from employment resulting from specified causes, such as layoff, business closure, strike, illness of a close relative and adoption or birth of a child. This insurance is sometimes referred to as Credit Family Leave.",,,,,,,,,
Credit_Life_Insurance,Credit Life Insurance,Approved,policy assigning creditor as beneficiary for insurance on a debtor thereby remitting balance of payment to creditor upon death of debtor.,,,,,,,,,
Credit_Personal_Property_Insurance,Credit Personal Property Insurance,Approved,"insurance written in connection with a credit transaction where the collateral is not a motor vehicle, mobile home or real estate and that covers perils to the goods purchased through a credit transaction or used as collateral for a credit transaction and that concerns a creditor's interest in the purchased goods or pledged collateral, either in whole or in part; or covers perils to goods purchased in connection with an open-end transaction.",,,,,,,,,
Credit_Placed_Insurance,Credit Placed Insurance,Approved,"insurance that is purchased unilaterally by the creditor, who is the named insured, subsequent to the date of the credit transaction, providing coverage against loss, expense or damage to property as a result of fire, theft, collision or other risks of loss that would either impair a creditor's interest or adversely affect the value of collateral. ""Creditor Placed Home"" means ""Creditor Placed Insurance"" on homes, mobile homes and other real estate. ""Creditor Placed Auto"" means insurance on automobiles, boats or other vehicles.",,,,,,,,,
Credit_Risk,Credit Risk ,Approved,part of the risk-based capital formula that addresses the collectability of a company's receivables and the risk of losing a provider or intermediary that has received advance capitation payments.,,,,,,,,,
Credit,Credit,Approved,"individual or group policies that provide benefits to a debtor for full or partial repayment of debt associated with a specific loan or other credit transaction upon disability or involuntary unemployment of debtor, except in connection with first mortgage loans.",,,,,,,,,
Creditor_Placed_Auto,Creditor-Placed Auto,Approved,"single interest or dual interest credit insurance that is purchased unilaterally by the creditor, who is the named insured, subsequent to the date of the credit transaction, providing coverage against loss to property that would either impair a creditor's interest or adversely affect the value of collateral on automobiles, boats, or other vehicles.",,,,,,,,,
Creditor_Placed_Home,Creditor-Placed Home,Approved,"single interest or dual interest credit insurance purchased unilaterally by the creditor, who is the named insured, subsequent to the date of the credit transaction, providing coverage against loss to property that would either impair a creditor's interest or adversely affect the value of collateral on homes, mobile homes, and other real estate.",,,,,,,,,
Crop,Crop,Approved,"coverage protecting the insured against loss or damage to crops from a variety of perils, including but not limited to fire, lightening, loss of revenue, tornado, windstorm, hail, flood, rain, or damage by insects.",,,,,,,,,
Crop_Hail_Insurance,Crop-Hail Insurance,Approved,"coverage for crop damage due to hail, fire or lightning.",,,,,,,,,
Date_of_Issue,Date of Issue ,Approved,date when an insurance company issues a policy.,,,,,,,,,
Declarations,Declarations,Approved,"policy statements regarding the applicant and property covered such as demographic and occupational information, property specifications and expected mileage per year .",,,,,,,,,
Deductible,Deductible,Approved,Portion of the insured loss (in dollars) paid by the policy holder,,,,,,,,,
Deferred_Annuity,Deferred Annuity,Approved,"annuity payment to be made as a single payment or a series of installments to begin at some future date, such as in a specified number of years or at a specified age.",,,,,,,,,
Demutualization,Demutualization,Approved,conversion of a mutual insurance company to a capital stock company.,,,,,,,,,
Dental_Insurance,Dental Insurance,Approved,"policies providing only dental treatment benefits such as routine dental examinations, preventive dental work, and dental procedures needed to treat tooth decay and diseases of the teeth and jaw.",,,,,,,,,
Dental_Only,Dental Only ,Approved,"line of business providing dental only coverage; coverage can be on a stand-alone basis or as a rider to a medical policy. If the coverage is as a rider, deductibles or out-of-pocket limits must be set separately from the medical coverage. Does not include self-insured business as well as FEHBP or Medicare and Medicaid programs.",,,,,,,,,
Derivative,Derivative,Approved,"securities priced according to the value of other financial instruments such as commodity prices, interest rates, stock market prices, foreign or exchange rates.",,,,,,,,,
Difference_In_Conditions_DIC_Insurance,Difference In Conditions (DIC) Insurance,Approved,special form of open-peril coverage written in conjunction with basic fire coverage and designed to provide protection against losses not reimbursed under the standard fire forms. Examples are flood and earthquake coverage.,,,,,,,,,
Direct_Incurred_Loss,Direct Incurred Loss,Approved,loss whereby the proximate cause is equivalent to the insured peril.,,,,,,,,,
Direct_Loss,Direct Loss,Approved,Damage to covered real or personal property caused by a covered peril.,,,,,,,,,
Direct_Writer,Direct Writer,Approved,an insurance company that sells policies to the insured through salaried representatives or exclusive agents only; reinsurance companies that deal directly with ceding companies instead of using brokers.,,,,,,,,,
Direct_Written_Premium,Direct Written Premium ,Approved,total premiums received by an insurance company without any adjustments for the ceding of any portion of these premiums to the Reinsurer.,,,,,,,,,
Directors_and_Officers_Liability,Directors and Officers Liability,Approved,liability coverage protecting directors or officers of a corporation from liability arising out of the performance of their professional duties on behalf of the corporation.,,,,,,,,,
Disability_Income_Long_Term,Disability Income - Long-Term,Approved,policies that provide a weekly or monthly income benefit for more than five years for individual coverage and more than one year for group coverage for full or partial disability arising from accident and/or sickness.,,,,,,,,,
Disability_Income_Short_Term,Disability Income - Short-Term,Approved,policies that provide a weekly or monthly income benefit for up to five years for individual coverage and up to one year for group coverage for full or partial disability arising from accident and/or sickness.,,,,,,,,,
Disability_Income,Disability Income,Approved,a policy designed to compensate insured individuals for a portion of the income they lose because of a disabling injury or illness.,,,,,,,,,
Dividend,Dividend,Approved,a refund of a portion of the premium paid by the insured from insurer surplus.,,,,,,,,,
